"filename", "language", "JSON", "JavaScript", "Markdown", "XML", "CSS", "HTML", "comment", "blank", "total"
"c:\Decimo_proyecto\selecciondocente\README.md", "Markdown", 0, 0, 38, 0, 0, 0, 0, 33, 71
"c:\Decimo_proyecto\selecciondocente\package-lock.json", "JSON", 20039, 0, 0, 0, 0, 0, 0, 1, 20040
"c:\Decimo_proyecto\selecciondocente\package.json", "JSON", 65, 0, 0, 0, 0, 0, 0, 1, 66
"c:\Decimo_proyecto\selecciondocente\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Decimo_proyecto\selecciondocente\public\index.html", "HTML", 0, 0, 0, 0, 0, 20, 0, 4, 24
"c:\Decimo_proyecto\selecciondocente\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Decimo_proyecto\selecciondocente\public\service-worker.js", "JavaScript", 0, 65, 0, 0, 0, 0, 6, 6, 77
"c:\Decimo_proyecto\selecciondocente\src\App.css", "CSS", 0, 0, 0, 0, 33, 0, 0, 6, 39
"c:\Decimo_proyecto\selecciondocente\src\App.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 3, 28
"c:\Decimo_proyecto\selecciondocente\src\componentes\AcefaliaForm.js", "JavaScript", 0, 380, 0, 0, 0, 0, 7, 21, 408
"c:\Decimo_proyecto\selecciondocente\src\componentes\ConcursoDeMeritos.js", "JavaScript", 0, 302, 0, 0, 0, 0, 11, 21, 334
"c:\Decimo_proyecto\selecciondocente\src\componentes\Examendecompetencias.js", "JavaScript", 0, 323, 0, 0, 0, 0, 8, 21, 352
"c:\Decimo_proyecto\selecciondocente\src\componentes\Examendeconocimientos.js", "JavaScript", 0, 309, 0, 0, 0, 0, 8, 21, 338
"c:\Decimo_proyecto\selecciondocente\src\componentes\ListaAcefalia.js", "JavaScript", 0, 271, 0, 0, 0, 0, 2, 22, 295
"c:\Decimo_proyecto\selecciondocente\src\componentes\ListaUsuarios.js", "JavaScript", 0, 258, 0, 0, 0, 0, 0, 17, 275
"c:\Decimo_proyecto\selecciondocente\src\componentes\Postulaciones.js", "JavaScript", 0, 303, 0, 0, 0, 0, 11, 18, 332
"c:\Decimo_proyecto\selecciondocente\src\componentes\Postulacionesporcarrera.js", "JavaScript", 0, 322, 0, 0, 0, 0, 7, 19, 348
"c:\Decimo_proyecto\selecciondocente\src\componentes\RegistroCompetencias.js", "JavaScript", 0, 503, 0, 0, 0, 0, 9, 28, 540
"c:\Decimo_proyecto\selecciondocente\src\componentes\RegistroPostulacion.js", "JavaScript", 0, 508, 0, 0, 0, 0, 7, 29, 544
"c:\Decimo_proyecto\selecciondocente\src\componentes\Registrodeconocimientos.js", "JavaScript", 0, 298, 0, 0, 0, 0, 6, 22, 326
"c:\Decimo_proyecto\selecciondocente\src\componentes\Registrodemeritos.js", "JavaScript", 0, 275, 0, 0, 0, 0, 10, 20, 305
"c:\Decimo_proyecto\selecciondocente\src\componentes\Registromateria.css", "CSS", 0, 0, 0, 0, 58, 0, 0, 10, 68
"c:\Decimo_proyecto\selecciondocente\src\componentes\UserForm.js", "JavaScript", 0, 341, 0, 0, 0, 0, 6, 19, 366
"c:\Decimo_proyecto\selecciondocente\src\componentes\dashboard.css", "CSS", 0, 0, 0, 0, 74, 0, 0, 14, 88
"c:\Decimo_proyecto\selecciondocente\src\componentes\dashboard.js", "JavaScript", 0, 459, 0, 0, 0, 0, 6, 22, 487
"c:\Decimo_proyecto\selecciondocente\src\componentes\firmadigital.js", "JavaScript", 0, 181, 0, 0, 0, 0, 6, 15, 202
"c:\Decimo_proyecto\selecciondocente\src\componentes\listaacefalias.css", "CSS", 0, 0, 0, 0, 52, 0, 0, 9, 61
"c:\Decimo_proyecto\selecciondocente\src\componentes\login.css", "CSS", 0, 0, 0, 0, 97, 0, 0, 14, 111
"c:\Decimo_proyecto\selecciondocente\src\componentes\login.js", "JavaScript", 0, 98, 0, 0, 0, 0, 3, 7, 108
"c:\Decimo_proyecto\selecciondocente\src\componentes\workflow.js", "JavaScript", 0, 219, 0, 0, 0, 0, 7, 18, 244
"c:\Decimo_proyecto\selecciondocente\src\index.css", "CSS", 0, 0, 0, 0, 15, 0, 0, 4, 19
"c:\Decimo_proyecto\selecciondocente\src\index.js", "JavaScript", 0, 20, 0, 0, 0, 0, 1, 3, 24
"c:\Decimo_proyecto\selecciondocente\src\logo.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Decimo_proyecto\selecciondocente\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Decimo_proyecto\selecciondocente\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 0, 4, 1, 6
"c:\Decimo_proyecto\selecciondocente\tailwind.config.js", "JavaScript", 0, 10, 0, 0, 0, 0, 1, 2, 13
"Total", "-", 20129, 5489, 38, 1, 329, 20, 126, 455, 26587